Template Name,Industry,Use Case,Email Number,Send Day,Subject Line,Email Body Preview,Full Sequence,Tags
SaaS Meeting - Email 1,SaaS,Meeting Booking,1,0,Quick question about [Company Name]'s [specific process],"Hi [First Name], I noticed [Company Name] is [specific observation]...",saas-meeting-booking,"saas,meeting,cold-outreach,day-0"
SaaS Meeting - Email 2,SaaS,Meeting Booking,2,3-4,Re: Quick question - value-add follow-up,"Hi [First Name], I know inboxes get busy. Wanted to share something useful...",saas-meeting-booking,"saas,meeting,follow-up,day-3"
SaaS Meeting - Email 3,SaaS,Meeting Booking,3,7,How [Similar Company] solved [specific problem],"Hi [First Name], Following up because I recently helped [Similar Company]...",saas-meeting-booking,"saas,meeting,case-study,day-7"
SaaS Meeting - Email 4,SaaS,Meeting Booking,4,10-12,Should I close your file?,"Hi [First Name], I've reached out a few times but haven't heard back...",saas-meeting-booking,"saas,meeting,breakup,day-10"
SaaS Meeting - Email 5,SaaS,Meeting Booking,5,21-30,[Industry] trend I thought you'd find interesting,"Hi [First Name], I know we couldn't connect earlier, but wanted to flag...",saas-meeting-booking,"saas,meeting,re-engagement,day-21"
SaaS Demo - Email 1,SaaS,Demo Request,1,0,[Company Name] - [Specific Feature] demo,"Hi [First Name], I help [their industry] companies solve [specific problem]...",saas-demo-request,"saas,demo,product,day-0"
SaaS Demo - Email 2,SaaS,Demo Request,2,3-4,Re: Demo - interactive link,"Hi [First Name], Quick follow-up - I created an interactive demo you can explore...",saas-demo-request,"saas,demo,interactive,day-3"
SaaS Demo - Email 3,SaaS,Demo Request,3,7,How [Customer Name] uses [Your Product] - video,"Hi [First Name], I recorded a case study video with [Customer Name]...",saas-demo-request,"saas,demo,video,day-7"
SaaS Demo - Email 4,SaaS,Demo Request,4,10-12,Quick question,"Hi [First Name], I've sent over demos but haven't heard back. Quick question...",saas-demo-request,"saas,demo,breakup,day-10"
SaaS Demo - Email 5,SaaS,Demo Request,5,21-30,We just launched [New Feature],"Hi [First Name], Timing wasn't right earlier, but we just launched [Feature]...",saas-demo-request,"saas,demo,new-feature,day-21"
SaaS Partnership - Email 1,SaaS,Partnership,1,0,Partnership opportunity - [Your Co] + [Their Co],"Hi [First Name], I'm from [Your Company]. I think there's a partnership opportunity...",saas-partnership,"saas,partnership,b2b,day-0"
SaaS Partnership - Email 2,SaaS,Partnership,2,3-4,Re: Partnership - customer overlap data,"Hi [First Name], Quick follow-up with data. We ran a survey of our customers...",saas-partnership,"saas,partnership,data,day-3"
SaaS Partnership - Email 3,SaaS,Partnership,3,7,How we built our [Partner] integration,"Hi [First Name], Wanted to share a partnership case study that worked well...",saas-partnership,"saas,partnership,case-study,day-7"
SaaS Partnership - Email 4,SaaS,Partnership,4,10-12,Wrong timing or wrong fit?,"Hi [First Name], I've reached out about partnership but haven't heard back...",saas-partnership,"saas,partnership,breakup,day-10"
SaaS Partnership - Email 5,SaaS,Partnership,5,21-30,The [ecosystem trend] - opportunity for [Company],"Hi [First Name], Wanted to share a trend in [their ecosystem]...",saas-partnership,"saas,partnership,trend,day-21"
Agency Meeting - Email 1,Agency,Meeting Booking,1,0,[Company Name]'s [specific asset] caught my attention,"Hi [First Name], I was researching [their industry] and came across [specific thing]...",agency-meeting-booking,"agency,meeting,observation,day-0"
Agency Meeting - Email 2,Agency,Meeting Booking,2,3-4,Re: [Company] - quick audit,"Hi [First Name], I spent 15 minutes doing a quick audit of [Company]...",agency-meeting-booking,"agency,meeting,audit,day-3"
Agency Meeting - Email 3,Agency,Meeting Booking,3,7,How we helped [Similar Client] with [challenge],"Hi [First Name], Quick case study relevant to [Company]'s situation...",agency-meeting-booking,"agency,meeting,case-study,day-7"
Agency Meeting - Email 4,Agency,Meeting Booking,4,10-12,Should I take [Company] off my list?,"Hi [First Name], I've reached out about [service] but haven't heard back...",agency-meeting-booking,"agency,meeting,breakup,day-10"
Agency Meeting - Email 5,Agency,Meeting Booking,5,21-30,[Industry] marketing trend worth watching,"Hi [First Name], Wanted to share a trend across [industry] companies...",agency-meeting-booking,"agency,meeting,trend,day-21"
Agency Portfolio - Email 1,Agency,Portfolio Review,1,0,[Company Name] - portfolio examples,"Hi [First Name], I run [Agency]. Worked with brands like [Client 1, 2]...",agency-portfolio-review,"agency,portfolio,examples,day-0"
Agency Portfolio - Email 2,Agency,Portfolio Review,2,3-4,Re: Portfolio - video walkthrough,"Hi [First Name], I recorded a 5-minute portfolio walkthrough for [Company]...",agency-portfolio-review,"agency,portfolio,video,day-3"
Agency Portfolio - Email 3,Agency,Portfolio Review,3,7,Before/After: [Client] transformation,"Hi [First Name], Thought you'd appreciate this before/after for [Client]...",agency-portfolio-review,"agency,portfolio,before-after,day-7"
Agency Portfolio - Email 4,Agency,Portfolio Review,4,10-12,One last example then I'll leave you alone,"Hi [First Name], Before I close your file, one more relevant project...",agency-portfolio-review,"agency,portfolio,breakup,day-10"
Agency Portfolio - Email 5,Agency,Portfolio Review,5,21-30,Thought you'd appreciate this new project,"Hi [First Name], Wanted to share a project we just launched...",agency-portfolio-review,"agency,portfolio,new-work,day-21"
Agency Partnership - Email 1,Agency,Partnership,1,0,Partnership opportunity - [Agency 1] + [Agency 2],"Hi [First Name], I run [Agency]. I think there's a partnership opportunity...",agency-partnership,"agency,partnership,referral,day-0"
Agency Partnership - Email 2,Agency,Partnership,2,3-4,Re: Partnership - client overlap evidence,"Hi [First Name], Following up with client demand data...",agency-partnership,"agency,partnership,data,day-3"
Agency Partnership - Email 3,Agency,Partnership,3,7,Partnership case study: [Partner Agency],"Hi [First Name], Wanted to share how a similar partnership has worked...",agency-partnership,"agency,partnership,case-study,day-7"
Agency Partnership - Email 4,Agency,Partnership,4,10-12,Not the right fit?,"Hi [First Name], I've reached out about partnering but haven't heard back...",agency-partnership,"agency,partnership,breakup,day-10"
Agency Partnership - Email 5,Agency,Partnership,5,21-30,[Market trend] opportunity for agencies,"Hi [First Name], Wanted to flag a trend in the [market] space...",agency-partnership,"agency,partnership,trend,day-21"
B2B Meeting - Email 1,B2B Services,Meeting Booking,1,0,[Company] - observation about [area],"Hi [First Name], I help [company type] with [problem]. I noticed [observation]...",b2b-meeting-booking,"b2b,professional-services,meeting,day-0"
B2B Meeting - Email 2,B2B Services,Meeting Booking,2,3-4,Re: [Company] - [relevant resource],"Hi [First Name], I put together a resource that might be useful...",b2b-meeting-booking,"b2b,professional-services,resource,day-3"
B2B Meeting - Email 3,B2B Services,Meeting Booking,3,7,How [Similar Client] solved [problem],"Hi [First Name], Case study that might resonate with [Company]...",b2b-meeting-booking,"b2b,professional-services,case-study,day-7"
B2B Meeting - Email 4,B2B Services,Meeting Booking,4,10-12,Last note about [challenge],"Hi [First Name], I've reached out about [service] but haven't heard back...",b2b-meeting-booking,"b2b,professional-services,breakup,day-10"
B2B Meeting - Email 5,B2B Services,Meeting Booking,5,21-30,[Industry change] - impact on [company type],"Hi [First Name], Wanted to flag something impacting [industry] companies...",b2b-meeting-booking,"b2b,professional-services,regulatory,day-21"
B2B Discovery - Email 1,B2B Services,Discovery Call,1,0,Complimentary [assessment] for [Company],"Hi [First Name], I'd like to offer a complimentary [assessment]...",b2b-discovery-call,"b2b,professional-services,assessment,day-0"
B2B Discovery - Email 2,B2B Services,Discovery Call,2,3-4,Re: Assessment - framework preview,"Hi [First Name], Wanted to share what we'd cover in the assessment...",b2b-discovery-call,"b2b,professional-services,framework,day-3"
B2B Discovery - Email 3,B2B Services,Discovery Call,3,7,Example assessment for [industry] company,"Hi [First Name], I recorded a video showing an actual assessment we did...",b2b-discovery-call,"b2b,professional-services,example,day-7"
B2B Discovery - Email 4,B2B Services,Discovery Call,4,10-12,Closing your file - one last resource,"Hi [First Name], I've offered assessment but haven't heard back. One last resource...",b2b-discovery-call,"b2b,professional-services,breakup,day-10"
B2B Discovery - Email 5,B2B Services,Discovery Call,5,21-30,[Trigger event] - assessment still available,"Hi [First Name], Timing wasn't right before, but I noticed [trigger event]...",b2b-discovery-call,"b2b,professional-services,trigger,day-21"
B2B Partnership - Email 1,B2B Services,Partnership,1,0,Partnership opportunity - [Co 1] + [Co 2],"Hi [First Name], I run [Company]. I think there's a partnership opportunity...",b2b-partnership,"b2b,professional-services,partnership,day-0"
B2B Partnership - Email 2,B2B Services,Partnership,2,3-4,Re: Partnership - client demand evidence,"Hi [First Name], Following up with data about client demand...",b2b-partnership,"b2b,professional-services,data,day-3"
B2B Partnership - Email 3,B2B Services,Partnership,3,7,Partnership case study: [Partner Company],"Hi [First Name], Wanted to share how a similar partnership worked...",b2b-partnership,"b2b,professional-services,case-study,day-7"
B2B Partnership - Email 4,B2B Services,Partnership,4,10-12,Wrong fit or wrong timing?,"Hi [First Name], I've reached out about partnership but haven't heard back...",b2b-partnership,"b2b,professional-services,breakup,day-10"
B2B Partnership - Email 5,B2B Services,Partnership,5,21-30,[Market trend] - partnership opportunity,"Hi [First Name], Wanted to flag a trend in the [market] space...",b2b-partnership,"b2b,professional-services,trend,day-21"
Bonus: Re-Engagement,All,Re-engagement,N/A,N/A,Circling back - [Company],"Hi [First Name], We talked [timeframe] ago, circling back because [reason]...",bonus-templates,"bonus,re-engagement,trigger"
Bonus: Event Invitation,All,Event,N/A,N/A,[Event Name] - spots available,"Hi [First Name], We're hosting a [event type] on [topic]...",bonus-templates,"bonus,event,webinar"
Bonus: Content Share,All,Nurture,N/A,N/A,Thought this might interest you,"Hi [First Name], No ask here - just wanted to share something useful...",bonus-templates,"bonus,content,nurture"
Bonus: Mutual Connection,All,Warm Intro,N/A,N/A,[Mutual Connection] suggested I reach out,"Hi [First Name], [Connection] suggested I reach out...",bonus-templates,"bonus,warm-intro,referral"
Bonus: Competitor Mention,All,Competitive,N/A,N/A,[Company] + [Competitor] - question,"Hi [First Name], I noticed [Company] is using [Competitor]...",bonus-templates,"bonus,competitive,switch"
Bonus: Job Posting,All,Trigger Event,N/A,N/A,Saw you're hiring [Role],"Hi [First Name], Noticed [Company] is hiring for [Role]...",bonus-templates,"bonus,hiring,trigger"
Bonus: Funding News,All,Trigger Event,N/A,N/A,Congrats on the [Series X],"Hi [First Name], Saw [Company] raised [Amount]...",bonus-templates,"bonus,funding,trigger"
Bonus: Seasonal Hook,All,Timing,N/A,N/A,Q4 planning for [company type],"Hi [First Name], Q4 is when [company type] typically plan for [topic]...",bonus-templates,"bonus,seasonal,planning"
Bonus: Award Recognition,All,Trigger Event,N/A,N/A,Congrats on [Award],"Hi [First Name], Saw [Company] won [Award] - well deserved...",bonus-templates,"bonus,award,recognition"
Bonus: LinkedIn Post,All,Social Engagement,N/A,N/A,Your post about [Topic],"Hi [First Name], Saw your LinkedIn post about [topic]...",bonus-templates,"bonus,linkedin,social"
